CN_ID,IND_ID,CHQ_ID,EM2021,EM2020,EM2019,EM2018,EM2017,RU2021,RU2020,RU2019,RU2018,RU2017,EI2021,EI2020,EI2019,EI2018,EI2017,ROA2021,ROA2020,ROA2019,ROA2018,ROA2017,ROE2021,ROE2020,ROE2019,ROE2018,ROE2017,FS2021,FS2020,FS2019,FS2018,FS2017,LV2021,LV2020,LV2019,LV2018,LV2017
30,3,14,89.935065,75.170068,71.951220,74.500000,75.000000,76.573427,69.029851,68.303571,66.091954,60.135135,50.000000,0.000000,0.000000,0.000000,0.000000,0.407899,0.111528,0.005881,-0.116883,0.010016,0.726204,0.498162,0.052129,-1.073473,0.047855,23.284021,22.898477,22.843527,22.872967,23.001354,0.176507,0.341474,0.430881,0.437005,0.416385
35,1,15,67.687075,61.382114,51.500000,51.744186,50.000000,92.164179,94.196429,72.988506,34.459459,38.405797,50.000000,50.000000,50.000000,50.000000,0.000000,0.064325,0.055621,0.049589,0.050343,0.083133,0.134925,0.119674,0.107557,0.102665,0.170582,23.050078,23.030818,22.895446,22.777862,22.761390,0.082956,0.086362,0.062597,0.075461,0.086478
32,2,15,78.571429,79.268293,77.500000,66.860465,68.309859,83.208955,82.589286,67.241379,70.945946,71.739130,50.000000,50.000000,50.000000,50.000000,50.000000,0.006087,0.012758,0.004361,0.006693,0.007441,0.015353,0.036856,0.013279,0.019844,0.019915,22.747578,22.908458,22.789345,22.678813,22.497328,0.122295,0.142813,0.167479,0.201262,0.231670
33,3,15,92.857143,92.276423,88.500000,81.976744,93.661972,82.462687,91.517857,82.183908,87.162162,93.478261,50.000000,50.000000,50.000000,50.000000,50.000000,0.298558,0.013217,-0.082390,-0.191860,-0.330612,0.515296,0.073422,-0.541705,-0.761428,-1.331014,23.434493,22.880046,22.548507,22.032140,21.940611,0.024642,0.113295,0.214534,0.231439,0.508231
34,3,15,2.721088,2.439024,5.000000,4.651163,35.915493,7.462687,8.035714,7.471264,4.729730,17.391304,0.000000,0.000000,0.000000,0.000000,0.000000,0.084655,0.019859,0.034098,0.036997,0.036734,0.152719,0.032968,0.052619,0.057648,0.059881,22.421103,22.181045,22.073813,22.031668,22.018535,0.038079,0.041214,0.037957,0.036637,0.025798
36,3,15,27.857143,29.661017,30.701754,48.181818,53.636364,17.910448,41.228070,50.000000,48.113208,52.884615,0.000000,0.000000,0.000000,50.000000,50.000000,-0.025291,-0.070054,-0.075680,-0.057359,-0.073262,-0.239701,-0.767204,-1.182526,-0.490056,-0.405073,22.566691,22.776296,23.033853,23.062634,22.991772,0.119132,0.091931,0.096125,0.275586,0.282399
37,1,16,68.367347,65.447154,71.500000,54.069767,51.408451,80.223881,85.267857,84.482759,80.405405,84.782609,50.000000,50.000000,50.000000,50.000000,50.000000,0.008342,0.012912,0.041668,0.044006,0.039625,0.012042,0.025667,0.078845,0.080027,0.070353,22.986703,22.735691,22.651177,22.528439,22.468931,0.140542,0.145651,0.118968,0.112550,0.049796
38,3,17,55.442177,33.739837,15.000000,15.697674,11.971831,32.462687,34.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098733,0.002949,0.032869,0.022040,0.029264,0.252113,0.006581,0.070176,0.049545,0.059806,22.206469,21.825377,21.825856,21.838673,21.635668,0.492330,0.433506,0.400538,0.379979,0.258869
39,3,17,47.278912,52.439024,0.500000,0.000000,0.000000,25.746269,26.339286,0.574713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025056,-0.774000,0.026810,-0.007453,-0.036343,0.032606,-2.465106,0.051035,-0.014751,-0.065105,20.509172,20.581927,21.233427,21.256142,21.220039,0.065672,0.181424,0.199701,0.364579,0.395332
40,1,18,91.883117,88.095238,84.959350,65.500000,65.697674,93.356643,94.402985,86.160714,62.643678,57.432432,50.000000,50.000000,50.000000,50.000000,50.000000,0.091385,0.094957,0.033676,0.074794,0.086058,0.532864,0.990521,-3.428571,2.760870,5.264706,21.761356,21.712093,21.597359,21.389775,21.637623,0.280596,0.316220,0.325070,0.234393,0.191346
41,1,18,56.428571,46.610169,58.771930,75.454545,70.000000,75.373134,72.807018,80.188679,72.641509,77.884615,0.000000,0.000000,50.000000,50.000000,50.000000,-0.013239,-0.044424,-0.028767,0.003806,-0.057860,-0.025443,-0.086679,-0.050413,0.006496,-0.096728,22.247969,22.366892,22.486151,22.497160,22.529164,0.000946,0.002806,0.008017,0.007164,0.008934
42,1,19,52.272727,45.918367,27.235772,34.500000,0.581395,20.629371,19.776119,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.047593,0.045060,0.108385,0.110866,0.112719,0.146636,0.149470,0.231363,0.240726,0.257245,20.404413,20.334256,19.788574,19.753701,19.796548,0.157215,0.206093,0.286317,0.288574,0.307915
43,1,19,23.701299,14.625850,18.292683,5.000000,4.651163,24.475524,22.761194,23.214286,22.988506,20.945946,0.000000,0.000000,0.000000,0.000000,0.000000,0.117372,0.075640,0.064209,0.093875,0.081357,0.248656,0.168702,0.153129,0.168295,0.157850,21.465003,21.275198,21.039650,20.745284,20.719165,0.058127,0.084442,0.116158,0.158796,0.196668
44,3,20,17.283951,26.422764,23.387097,31.250000,27.551020,13.125000,28.125000,12.295082,20.175439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013530,0.001011,-0.009249,0.270384,-0.043916,0.024096,0.001635,-0.014239,0.424236,-0.094049,19.822152,19.667569,19.688475,19.721057,20.247191,0.086678,0.080115,0.060626,0.052162,0.222192
45,1,21,44.480519,39.795918,28.861789,37.500000,28.488372,75.174825,72.761194,70.982143,68.390805,66.891892,0.000000,0.000000,0.000000,0.000000,0.000000,0.031019,0.017496,0.037458,0.063465,0.050481,0.063570,0.029330,0.064445,0.103051,0.079429,21.405206,21.428451,21.383748,21.381980,21.440063,0.164022,0.114942,0.075396,0.003449,0.082150
47,2,21,38.524590,36.792453,22.826087,20.652174,28.125000,74.166667,36.607143,34.375000,39.795918,26.530612,50.000000,50.000000,50.000000,50.000000,50.000000,0.039807,0.035651,0.029673,0.037403,0.068267,0.114110,0.100657,0.072299,0.101334,0.140338,21.425284,21.338354,21.223061,21.307483,21.057379,0.275733,0.320301,0.231611,0.272938,0.085425
46,3,21,50.714286,48.305085,42.982456,44.545455,48.181818,42.537313,37.719298,25.471698,29.245283,7.692308,50.000000,50.000000,50.000000,50.000000,0.000000,-0.031680,-0.040855,-0.007909,-0.049481,-0.068107,-0.087809,-0.205636,-0.039808,-0.185460,-0.183911,22.656053,22.931499,22.931499,22.829835,22.663245,0.297375,0.484550,0.484550,0.398098,0.277605
48,1,22,75.850340,82.520325,76.500000,69.186047,69.718310,81.716418,87.946429,92.528736,50.675676,54.347826,0.000000,0.000000,0.000000,0.000000,0.000000,0.008801,-0.015420,-0.019824,0.001647,0.020427,0.025672,-0.044885,-0.063856,0.004817,0.050444,21.176089,21.197691,21.406958,21.376595,21.762900,0.055421,0.040777,0.062719,0.046767,0.032865
49,1,22,73.051948,53.401361,53.252033,48.500000,48.255814,58.391608,56.343284,51.339286,47.701149,45.270270,0.000000,0.000000,0.000000,50.000000,50.000000,0.017607,0.002775,-0.002856,0.015545,0.033201,0.068823,0.014265,-0.012623,0.047395,0.112828,21.477379,21.621462,21.664171,22.359884,22.386635,0.094332,0.212035,0.180893,0.114860,0.278071
50,3,23,96.938776,95.528455,95.500000,93.604651,76.760563,75.000000,79.017857,64.942529,68.243243,42.753623,0.000000,0.000000,0.000000,0.000000,0.000000,0.391170,0.072901,0.000367,0.001283,0.035012,0.731414,0.258427,0.001606,0.004397,0.110494,23.816540,23.200188,23.050636,22.737250,22.632116,0.075956,0.268743,0.306136,0.406138,0.366702
51,3,23,74.489796,76.016260,75.500000,68.023256,48.591549,54.104478,53.125000,51.149425,49.324324,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,0.078559,0.014485,0.026048,0.026402,0.018545,0.189204,0.037903,0.060411,0.065124,0.045765,21.533028,21.493382,21.456409,21.449917,21.320459,0.291915,0.307520,0.323674,0.279609,0.334386
